login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,label
rrwhite,https://api.github.com/users/rrwhite,https://github.com/rrwhite,https://api.github.com/users/rrwhite/repos,12,0,0,0,{'HTML'},Bad
juvenn,https://api.github.com/users/juvenn,https://github.com/juvenn,https://api.github.com/users/juvenn/repos,74,13,5,13,"{'Rust', 'Dockerfile', 'TypeScript', 'Ruby', 'Java', 'JavaScript', 'C', 'Vim script', 'Clojure', 'CSS', 'Python', 'C++', 'PHP', 'Go', 'HTML'}",Bad
onats,https://api.github.com/users/onats,https://github.com/onats,https://api.github.com/users/onats/repos,4,0,0,0,{'JavaScript'},Bad
mkultra-zz,https://api.github.com/users/mkultra-zz,https://github.com/mkultra-zz,https://api.github.com/users/mkultra-zz/repos,6,3,0,3,"{'Shell', 'Ruby', 'Java', 'JavaScript', 'C#', 'VimL', 'Go', 'HTML'}",Bad
ericc59,https://api.github.com/users/ericc59,https://github.com/ericc59,https://api.github.com/users/ericc59/repos,8,6,1,6,"{'TypeScript', 'Ruby', 'C#', 'C++', 'Makefile'}",Bad
yar,https://api.github.com/users/yar,https://github.com/yar,https://api.github.com/users/yar/repos,5,44,4,44,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Python', 'C++', 'Go'}",Average
softa,https://api.github.com/users/softa,https://github.com/softa,https://api.github.com/users/softa/repos,3,59,12,59,"{'Ruby', 'JavaScript', 'Haskell', 'PHP'}",Average
heipei,https://api.github.com/users/heipei,https://github.com/heipei,https://api.github.com/users/heipei/repos,80,216,57,216,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Objective-C', 'Python', 'SCSS', 'CoffeeScript', 'PHP', 'Go', 'Perl', 'HTML'}",Excellent
elisehuard,https://api.github.com/users/elisehuard,https://github.com/elisehuard,https://api.github.com/users/elisehuard/repos,192,201,52,201,"{'Shell', 'HTML', 'Ruby', 'JavaScript', 'C', 'Clojure', 'Haskell', 'VimL', 'Go', 'Emacs Lisp'}",Excellent
martinschweitzer,https://api.github.com/users/martinschweitzer,https://github.com/martinschweitzer,https://api.github.com/users/martinschweitzer/repos,6,2,0,2,"{'C', 'Jupyter Notebook', 'HTML'}",Bad
zed9h,https://api.github.com/users/zed9h,https://github.com/zed9h,https://api.github.com/users/zed9h/repos,38,0,0,0,"{'C#', 'C++', 'Perl', 'HTML'}",Bad
wouter,https://api.github.com/users/wouter,https://github.com/wouter,https://api.github.com/users/wouter/repos,13,0,0,0,{'Shell'},Bad
kas84,https://api.github.com/users/kas84,https://github.com/kas84,https://api.github.com/users/kas84/repos,5,2,1,2,"{'TypeScript', 'JavaScript', 'Swift', 'Objective-C', 'Java'}",Bad
oriel,https://api.github.com/users/oriel,https://github.com/oriel,https://api.github.com/users/oriel/repos,18,4,1,4,"{'Python', 'JavaScript', 'C'}",Bad
sbenhaim,https://api.github.com/users/sbenhaim,https://github.com/sbenhaim,https://api.github.com/users/sbenhaim/repos,10,17,5,17,"{'TypeScript', 'Ruby', 'JavaScript', 'Clojure', 'Lua', 'Jupyter Notebook', 'Java'}",Bad
pshc,https://api.github.com/users/pshc,https://github.com/pshc,https://api.github.com/users/pshc/repos,39,42,7,42,"{'Ruby', 'JavaScript', 'C', 'Objective-C', 'Python', 'CoffeeScript', 'Rust'}",Average
harborhoffer,https://api.github.com/users/harborhoffer,https://github.com/harborhoffer,https://api.github.com/users/harborhoffer/repos,16,64,20,64,"{'Ruby', 'Java', 'JavaScript', 'Elm', 'HTML'}",Average
jvalentini,https://api.github.com/users/jvalentini,https://github.com/jvalentini,https://api.github.com/users/jvalentini/repos,22,6,2,6,"{'Shell', 'Ruby', 'JavaScript', 'Clojure', 'Python', 'Lua', 'CSS', 'PHP', 'Go', 'Emacs Lisp'}",Bad
ozgun,https://api.github.com/users/ozgun,https://github.com/ozgun,https://api.github.com/users/ozgun/repos,50,23,8,23,"{'Ruby', 'JavaScript', 'Python', 'CSS', 'HTML'}",Bad
yang,https://api.github.com/users/yang,https://github.com/yang,https://api.github.com/users/yang/repos,159,8,0,8,"{'TypeScript', 'Java', 'JavaScript', 'Scala', 'Python', 'Jupyter Notebook', 'HTML'}",Bad
hubris,https://api.github.com/users/hubris,https://github.com/hubris,https://api.github.com/users/hubris/repos,4,18,5,18,"{'Shell', 'Java', 'C#', 'C++', 'Emacs Lisp'}",Bad
ulranh,https://api.github.com/users/ulranh,https://github.com/ulranh,https://api.github.com/users/ulranh/repos,13,66,17,66,{'Go'},Average
sitwalkstand,https://api.github.com/users/sitwalkstand,https://github.com/sitwalkstand,https://api.github.com/users/sitwalkstand/repos,10,2,0,2,"{'TypeScript', 'Shell', 'JavaScript', 'Python', 'C#', 'CSS', 'C++', 'Jinja', 'HTML'}",Bad
loranger,https://api.github.com/users/loranger,https://github.com/loranger,https://api.github.com/users/loranger/repos,51,50,18,50,"{'Shell', 'Dockerfile', 'Ruby', 'JavaScript', 'CSS', 'SCSS', 'Vue', 'PHP'}",Average
peterkrenn,https://api.github.com/users/peterkrenn,https://github.com/peterkrenn,https://api.github.com/users/peterkrenn/repos,18,31,9,31,"{'Elixir', 'Shell', 'Ruby', 'JavaScript', 'C', 'Matlab', 'C++', 'PHP', 'Java'}",Average
jdevine,https://api.github.com/users/jdevine,https://github.com/jdevine,https://api.github.com/users/jdevine/repos,7,10,43,10,"{'TypeScript', 'Ruby', 'JavaScript', 'CSS', 'Python', 'SCSS', 'HTML'}",Bad
dtanner,https://api.github.com/users/dtanner,https://github.com/dtanner,https://api.github.com/users/dtanner/repos,8,40,7,40,"{'Shell', 'HTML', 'JavaScript', 'Nunjucks', 'CSS', 'Kotlin', 'CoffeeScript', 'Go', 'Groovy', 'Java'}",Average
pberry,https://api.github.com/users/pberry,https://github.com/pberry,https://api.github.com/users/pberry/repos,13,12,7,12,"{'Ruby', 'JavaScript', 'C', 'Objective-C', 'VimL', 'CSS', 'Python', 'Makefile', 'Perl', 'HTML'}",Bad
robotButler,https://api.github.com/users/robotButler,https://github.com/robotButler,https://api.github.com/users/robotButler/repos,3,2,0,2,"{'Clojure', 'Python'}",Bad
mzslater,https://api.github.com/users/mzslater,https://github.com/mzslater,https://api.github.com/users/mzslater/repos,6,62,53,62,{'Ruby'},Average
abbot,https://api.github.com/users/abbot,https://github.com/abbot,https://api.github.com/users/abbot/repos,439,649,167,649,"{'JavaScript', 'C', 'Clojure', 'Python', 'C++', 'Go', 'Perl'}",Excellent
tkadauke,https://api.github.com/users/tkadauke,https://github.com/tkadauke,https://api.github.com/users/tkadauke/repos,138,302,49,302,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'TeX'}",Excellent
evansenter,https://api.github.com/users/evansenter,https://github.com/evansenter,https://api.github.com/users/evansenter/repos,20,48,7,48,"{'HTML', 'Ruby', 'Vim script', 'C', 'C++', 'Go', 'Java'}",Average
mwalters,https://api.github.com/users/mwalters,https://github.com/mwalters,https://api.github.com/users/mwalters/repos,10,73,20,73,"{'Shell', 'Python', 'PHP', 'Groovy', 'HTML'}",Average
rfunduk,https://api.github.com/users/rfunduk,https://github.com/rfunduk,https://api.github.com/users/rfunduk/repos,46,365,84,365,"{'ActionScript', 'Nim', 'Ruby', 'JavaScript', 'Clojure', 'CSS', 'CoffeeScript', 'Go', 'HTML'}",Excellent
jespera,https://api.github.com/users/jespera,https://github.com/jespera,https://api.github.com/users/jespera/repos,15,26,7,26,"{'F#', 'TypeScript', 'Java', 'JavaScript', 'C', 'Clojure', 'Standard ML', 'OCaml', 'HTML'}",Bad
carstenroselundberg,https://api.github.com/users/carstenroselundberg,https://github.com/carstenroselundberg,https://api.github.com/users/carstenroselundberg/repos,3,1,0,1,set(),Bad
PiTiLeZarD,https://api.github.com/users/PiTiLeZarD,https://github.com/PiTiLeZarD,https://api.github.com/users/PiTiLeZarD/repos,14,43,7,43,"{'Python', 'JavaScript', 'TypeScript', 'Shell'}",Average
rogovskiy,https://api.github.com/users/rogovskiy,https://github.com/rogovskiy,https://api.github.com/users/rogovskiy/repos,3,1,1,1,"{'Python', 'CSS', 'TypeScript', 'Java'}",Bad
Hendrik,https://api.github.com/users/Hendrik,https://github.com/Hendrik,https://api.github.com/users/Hendrik/repos,15,137,33,137,"{'PHP', 'JavaScript'}",Average
tklaudel,https://api.github.com/users/tklaudel,https://github.com/tklaudel,https://api.github.com/users/tklaudel/repos,7,1,0,1,{'Haskell'},Bad
mdahlstrom,https://api.github.com/users/mdahlstrom,https://github.com/mdahlstrom,https://api.github.com/users/mdahlstrom/repos,11,0,0,0,"{'Ruby', 'JavaScript', 'Shell'}",Bad
graysky,https://api.github.com/users/graysky,https://github.com/graysky,https://api.github.com/users/graysky/repos,84,103,13,103,"{'Shell', 'Ruby', 'JavaScript', 'Scala', 'Python', 'HTML'}",Average
dleony,https://api.github.com/users/dleony,https://github.com/dleony,https://api.github.com/users/dleony/repos,11,5,0,5,"{'Python', 'JavaScript', 'Java'}",Bad
adamipc,https://api.github.com/users/adamipc,https://github.com/adamipc,https://api.github.com/users/adamipc/repos,5,5,1,5,"{'TypeScript', 'JavaScript', 'Objective-C', 'CSS', 'C#', 'C++', 'Rust', 'Perl'}",Bad
gps-sdr,https://api.github.com/users/gps-sdr,https://github.com/gps-sdr,https://api.github.com/users/gps-sdr/repos,27,96,50,96,{'C++'},Good
aajhiggs,https://api.github.com/users/aajhiggs,https://github.com/aajhiggs,https://api.github.com/users/aajhiggs/repos,12,1,0,1,{'JavaScript'},Bad
zakahiro,https://api.github.com/users/zakahiro,https://github.com/zakahiro,https://api.github.com/users/zakahiro/repos,8,1,0,1,{'JavaScript'},Bad
nitenichiryu,https://api.github.com/users/nitenichiryu,https://github.com/nitenichiryu,https://api.github.com/users/nitenichiryu/repos,4,10,0,10,"{'Ruby', 'Erlang', 'Objective-J', 'Java'}",Bad
hrabbit,https://api.github.com/users/hrabbit,https://github.com/hrabbit,https://api.github.com/users/hrabbit/repos,6,4,3,4,"{'GDScript', 'Arduino', 'Ruby', 'JavaScript', 'Python', 'PHP', 'HTML'}",Bad
andronikos,https://api.github.com/users/andronikos,https://github.com/andronikos,https://api.github.com/users/andronikos/repos,4,2,0,2,{'JavaScript'},Bad
jpoz,https://api.github.com/users/jpoz,https://github.com/jpoz,https://api.github.com/users/jpoz/repos,79,627,213,627,"{'Ruby', 'JavaScript', 'Objective-C', 'CSS', 'VimL', 'Go'}",Excellent
knight,https://api.github.com/users/knight,https://github.com/knight,https://api.github.com/users/knight/repos,8,6,0,6,"{'Ruby', 'JavaScript', 'Python', 'C++', 'PHP'}",Bad
juliangruber,https://api.github.com/users/juliangruber,https://github.com/juliangruber,https://api.github.com/users/juliangruber/repos,1633,365,38,365,"{'JavaScript', 'C++'}",Excellent
RichGuk,https://api.github.com/users/RichGuk,https://github.com/RichGuk,https://api.github.com/users/RichGuk/repos,44,130,51,130,"{'Shell', 'Puppet', 'Ruby', 'JavaScript', 'CSS', 'Lua'}",Excellent
Pluto-zz,https://api.github.com/users/Pluto-zz,https://github.com/Pluto-zz,https://api.github.com/users/Pluto-zz/repos,11,8,0,8,{'Java'},Bad
joux3,https://api.github.com/users/joux3,https://github.com/joux3,https://api.github.com/users/joux3/repos,10,11,0,11,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'C', 'Scala', 'Lua', 'C#', 'C++', 'PLpgSQL', 'Rust', 'Java'}",Bad
samuraixx,https://api.github.com/users/samuraixx,https://github.com/samuraixx,https://api.github.com/users/samuraixx/repos,4,2,1,2,set(),Bad
heathkit,https://api.github.com/users/heathkit,https://github.com/heathkit,https://api.github.com/users/heathkit/repos,165,22,13,22,"{'TypeScript', 'Shell', 'CMake', 'JavaScript', 'C', 'Swift', 'C#', 'Eagle', 'Go', 'HTML'}",Bad
zbo09,https://api.github.com/users/zbo09,https://github.com/zbo09,https://api.github.com/users/zbo09/repos,12,2,0,2,"{'Ruby', 'HTML'}",Bad
lizbaron,https://api.github.com/users/lizbaron,https://github.com/lizbaron,https://api.github.com/users/lizbaron/repos,14,6,3,6,"{'TypeScript', 'HTML', 'JavaScript', 'TSQL', 'PowerShell', 'Java'}",Bad
jimhaakman,https://api.github.com/users/jimhaakman,https://github.com/jimhaakman,https://api.github.com/users/jimhaakman/repos,5,0,0,0,{'Shell'},Bad
schmidp,https://api.github.com/users/schmidp,https://github.com/schmidp,https://api.github.com/users/schmidp/repos,14,3,3,3,"{'Shell', 'Java', 'JavaScript', 'CSS', 'C++', 'HTML'}",Bad
rquadling,https://api.github.com/users/rquadling,https://github.com/rquadling,https://api.github.com/users/rquadling/repos,21,443,113,443,"{'Shell', 'JavaScript', 'C', 'PHP', 'Go', 'HTML'}",Excellent
Garroten,https://api.github.com/users/Garroten,https://github.com/Garroten,https://api.github.com/users/Garroten/repos,7,1,0,1,"{'Ruby', 'JavaScript', 'Java'}",Bad
hsbt,https://api.github.com/users/hsbt,https://github.com/hsbt,https://api.github.com/users/hsbt/repos,1427,38,9,38,"{'Ruby', 'CSS', 'Shell', 'C'}",Average
KellyMahan,https://api.github.com/users/KellyMahan,https://github.com/KellyMahan,https://api.github.com/users/KellyMahan/repos,35,50,12,50,"{'Ruby', 'JavaScript'}",Average
feurio,https://api.github.com/users/feurio,https://github.com/feurio,https://api.github.com/users/feurio/repos,6,3,2,3,{'Ruby'},Bad
joelcarlton,https://api.github.com/users/joelcarlton,https://github.com/joelcarlton,https://api.github.com/users/joelcarlton/repos,9,12,5,12,"{'Python', 'JavaScript', 'Java'}",Bad
wolpos,https://api.github.com/users/wolpos,https://github.com/wolpos,https://api.github.com/users/wolpos/repos,3,0,0,0,{'C#'},Bad
jackprophesy,https://api.github.com/users/jackprophesy,https://github.com/jackprophesy,https://api.github.com/users/jackprophesy/repos,0,0,0,0,{'CSS'},Bad
superpea,https://api.github.com/users/superpea,https://github.com/superpea,https://api.github.com/users/superpea/repos,5,7,103,7,{'C++'},Bad
michelson,https://api.github.com/users/michelson,https://github.com/michelson,https://api.github.com/users/michelson/repos,350,3589,410,3589,"{'Elixir', 'Ruby', 'JavaScript', 'CSS', 'Pure Data'}",Excellent
acadavid,https://api.github.com/users/acadavid,https://github.com/acadavid,https://api.github.com/users/acadavid/repos,1279,19,12,19,"{'Shell', 'Elixir', 'Prolog', 'Ruby', 'JavaScript', 'CSS', 'C++', 'Rust', 'Go', 'Emacs Lisp'}",Bad
jconstable,https://api.github.com/users/jconstable,https://github.com/jconstable,https://api.github.com/users/jconstable/repos,9,80,25,80,"{'Python', 'C#', 'C++'}",Average
othercriteria,https://api.github.com/users/othercriteria,https://github.com/othercriteria,https://api.github.com/users/othercriteria/repos,21,13,4,13,"{'JavaScript', 'Python', 'Haskell', 'TeX', 'Nix', 'Rust', 'Emacs Lisp'}",Bad
elliotb,https://api.github.com/users/elliotb,https://github.com/elliotb,https://api.github.com/users/elliotb/repos,12,0,0,0,{'Elixir'},Bad
three3q,https://api.github.com/users/three3q,https://github.com/three3q,https://api.github.com/users/three3q/repos,6,2,0,2,"{'Python', 'JavaScript', 'C', 'VimL'}",Bad
sohooo,https://api.github.com/users/sohooo,https://github.com/sohooo,https://api.github.com/users/sohooo/repos,16,19,2,19,"{'Shell', 'Dockerfile', 'Ruby', 'JavaScript', 'Vim script', 'Swift', 'CSS', 'Rust'}",Bad
mrmargolis,https://api.github.com/users/mrmargolis,https://github.com/mrmargolis,https://api.github.com/users/mrmargolis/repos,19,69,11,69,"{'Elixir', 'Ruby', 'Java', 'Vim script', 'Clojure', 'Lua', 'VimL', 'Emacs Lisp'}",Average
qrush,https://api.github.com/users/qrush,https://github.com/qrush,https://api.github.com/users/qrush/repos,900,48,29,48,"{'Shell', 'Ruby', 'JavaScript', 'Objective-C', 'CSS', 'CoffeeScript', 'Java'}",Excellent
hparra,https://api.github.com/users/hparra,https://github.com/hparra,https://api.github.com/users/hparra/repos,82,778,90,778,"{'JavaScript', 'Python', 'CoffeeScript', 'PHP', 'Go', 'Emacs Lisp'}",Excellent
peritus,https://api.github.com/users/peritus,https://github.com/peritus,https://api.github.com/users/peritus/repos,140,1751,260,1751,"{'Shell', 'Ruby', 'JavaScript', 'Objective-C', 'Python', 'VimL', 'CoffeeScript', 'HTML'}",Excellent
scotty,https://api.github.com/users/scotty,https://github.com/scotty,https://api.github.com/users/scotty/repos,5,2,0,2,{'Ruby'},Bad
twobitfool,https://api.github.com/users/twobitfool,https://github.com/twobitfool,https://api.github.com/users/twobitfool/repos,9,11,6,11,"{'ApacheConf', 'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'C', 'CSS', 'HTML'}",Bad
sandro,https://api.github.com/users/sandro,https://github.com/sandro,https://api.github.com/users/sandro/repos,137,241,21,241,"{'Ruby', 'JavaScript', 'C', 'CoffeeScript', 'Go'}",Excellent
mattalbright,https://api.github.com/users/mattalbright,https://github.com/mattalbright,https://api.github.com/users/mattalbright/repos,6,10,1,10,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Python'}",Bad
mfb1982,https://api.github.com/users/mfb1982,https://github.com/mfb1982,https://api.github.com/users/mfb1982/repos,3,11,1,11,{'Ruby'},Bad
dmullins78,https://api.github.com/users/dmullins78,https://github.com/dmullins78,https://api.github.com/users/dmullins78/repos,18,4,3,4,"{'Shell', 'Ruby', 'JavaScript', 'Clojure', 'CSS', 'PowerShell', 'VimL', 'Go', 'Perl', 'Java'}",Bad
electrum,https://api.github.com/users/electrum,https://github.com/electrum,https://api.github.com/users/electrum/repos,589,11,7,11,"{'JavaScript', 'C++', 'Dockerfile', 'Java'}",Bad
insxne,https://api.github.com/users/insxne,https://github.com/insxne,https://api.github.com/users/insxne/repos,8,0,0,0,"{'JavaScript', 'TypeScript'}",Bad
himitsu,https://api.github.com/users/himitsu,https://github.com/himitsu,https://api.github.com/users/himitsu/repos,4,0,0,0,set(),Bad
wozozo,https://api.github.com/users/wozozo,https://github.com/wozozo,https://api.github.com/users/wozozo/repos,81,17,1,17,"{'TypeScript', 'Shell', 'JavaScript', 'Objective-C', 'Python', 'CSS', 'Nginx', 'PHP', 'Go', 'HTML'}",Bad
0xSMW,https://api.github.com/users/0xSMW,https://github.com/0xSMW,https://api.github.com/users/0xSMW/repos,21,0,0,0,"{'TypeScript', 'JavaScript', 'CSS', 'Python', 'Vue', 'HTML'}",Bad
slijtan,https://api.github.com/users/slijtan,https://github.com/slijtan,https://api.github.com/users/slijtan/repos,7,1,0,1,"{'Ruby', 'JavaScript', 'Emacs Lisp', 'PHP', 'HTML'}",Bad
fuerstenberg,https://api.github.com/users/fuerstenberg,https://github.com/fuerstenberg,https://api.github.com/users/fuerstenberg/repos,18,2,0,2,"{'Ruby', 'CSS'}",Bad
filterfish,https://api.github.com/users/filterfish,https://github.com/filterfish,https://api.github.com/users/filterfish/repos,27,17,6,17,"{'Shell', 'Ruby', 'Vim script', 'Lua', 'Haskell'}",Bad
PeeDee,https://api.github.com/users/PeeDee,https://github.com/PeeDee,https://api.github.com/users/PeeDee/repos,4,22,16,22,"{'Ruby', 'Objective-C', 'Python'}",Bad
kjyv,https://api.github.com/users/kjyv,https://github.com/kjyv,https://api.github.com/users/kjyv/repos,57,66,32,66,"{'OpenSCAD', 'Shell', 'Ruby', 'JavaScript', 'C', 'Swift', 'Fortran', 'Vim Script', 'Python', 'C++', 'VimL', 'Java'}",Excellent
blaine,https://api.github.com/users/blaine,https://github.com/blaine,https://api.github.com/users/blaine/repos,266,45,6,45,"{'TypeScript', 'HTML', 'Ruby', 'JavaScript', 'CSS', 'Python', 'C++', 'CoffeeScript', 'PHP', 'Java'}",Average
ajk,https://api.github.com/users/ajk,https://github.com/ajk,https://api.github.com/users/ajk/repos,8,70,1,70,"{'Clojure', 'Perl'}",Average
jongilbraith,https://api.github.com/users/jongilbraith,https://github.com/jongilbraith,https://api.github.com/users/jongilbraith/repos,41,260,69,260,"{'Python', 'Ruby', 'JavaScript', 'HTML'}",Excellent
bato3,https://api.github.com/users/bato3,https://github.com/bato3,https://api.github.com/users/bato3/repos,11,1,1,1,"{'TypeScript', 'HTML', 'Ruby', 'JavaScript', 'C', 'Python', 'SCSS', 'Scheme', 'PHP', 'Perl', 'Java'}",Bad
drothlis,https://api.github.com/users/drothlis,https://github.com/drothlis,https://api.github.com/users/drothlis/repos,49,355,58,355,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Python', 'CSS', 'C++', 'Haskell', 'Go', 'Emacs Lisp'}",Excellent
dot,https://api.github.com/users/dot,https://github.com/dot,https://api.github.com/users/dot/repos,63,2,4,2,"{'TypeScript', 'Shell', 'Ruby', 'Emacs Lisp', 'JavaScript', 'C', 'Objective-C', 'Astro', 'C++', 'HTML'}",Bad
nickL,https://api.github.com/users/nickL,https://github.com/nickL,https://api.github.com/users/nickL/repos,23,0,0,0,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'Objective-C'}",Bad
dev-zero,https://api.github.com/users/dev-zero,https://github.com/dev-zero,https://api.github.com/users/dev-zero/repos,53,14,7,14,"{'Shell', 'Ruby', 'Fortran', 'Python', 'C++', 'Mustache', 'TeX'}",Bad
synth,https://api.github.com/users/synth,https://github.com/synth,https://api.github.com/users/synth/repos,27,20,9,20,"{'Ruby', 'JavaScript'}",Bad
ijjzhao,https://api.github.com/users/ijjzhao,https://github.com/ijjzhao,https://api.github.com/users/ijjzhao/repos,5,0,0,0,"{'JavaScript', 'CSS', 'Vue', 'PHP', 'Java'}",Bad
nathen,https://api.github.com/users/nathen,https://github.com/nathen,https://api.github.com/users/nathen/repos,13,0,0,0,"{'JavaScript', 'Elixir'}",Bad
etiquettedude,https://api.github.com/users/etiquettedude,https://github.com/etiquettedude,https://api.github.com/users/etiquettedude/repos,4,2,0,2,{'C'},Bad
zany,https://api.github.com/users/zany,https://github.com/zany,https://api.github.com/users/zany/repos,9,0,0,0,"{'Python', 'HTML'}",Bad
picomiles,https://api.github.com/users/picomiles,https://github.com/picomiles,https://api.github.com/users/picomiles/repos,16,2,0,2,"{'CSS', 'JavaScript', 'HTML'}",Bad
urban,https://api.github.com/users/urban,https://github.com/urban,https://api.github.com/users/urban/repos,31,29,2,29,"{'Shell', 'Arduino', 'JavaScript', 'CSS', 'Scheme', 'Perl', 'HTML'}",Bad
HGebhardt,https://api.github.com/users/HGebhardt,https://github.com/HGebhardt,https://api.github.com/users/HGebhardt/repos,22,3,0,3,"{'Ruby', 'JavaScript', 'Shell'}",Bad
coliveira,https://api.github.com/users/coliveira,https://github.com/coliveira,https://api.github.com/users/coliveira/repos,4,17,2,17,"{'Common Lisp', 'C++', 'C'}",Bad
activefx,https://api.github.com/users/activefx,https://github.com/activefx,https://api.github.com/users/activefx/repos,41,24,2,24,"{'Shell', 'Ruby', 'JavaScript', 'C', 'HTML'}",Bad
pjz,https://api.github.com/users/pjz,https://github.com/pjz,https://api.github.com/users/pjz/repos,46,21,8,21,"{'Shell', 'Java', 'C', 'Python', 'C++', 'Zig', 'Go', 'Perl', 'HTML'}",Bad
earl,https://api.github.com/users/earl,https://github.com/earl,https://api.github.com/users/earl/repos,94,682,215,682,"{'R', 'Ruby', 'Java', 'JavaScript', 'C', 'Python', 'Ragel in Ruby Host', 'Rebol', 'C++', 'VimL', 'LLVM', 'Forth'}",Excellent
cenixdk,https://api.github.com/users/cenixdk,https://github.com/cenixdk,https://api.github.com/users/cenixdk/repos,7,9,0,9,"{'Ruby', 'PHP'}",Bad
Gautier,https://api.github.com/users/Gautier,https://github.com/Gautier,https://api.github.com/users/Gautier/repos,42,62,25,62,"{'Ruby', 'JavaScript', 'Python', 'C++', 'Nix', 'Java'}",Excellent
johntopley,https://api.github.com/users/johntopley,https://github.com/johntopley,https://api.github.com/users/johntopley/repos,11,51,8,51,"{'Ruby', 'JavaScript', 'Swift'}",Average
ifesdjeen,https://api.github.com/users/ifesdjeen,https://github.com/ifesdjeen,https://api.github.com/users/ifesdjeen/repos,403,97,37,97,"{'Ruby', 'Java', 'JavaScript', 'C', 'Clojure', 'Python', 'Haskell', 'Emacs Lisp'}",Excellent
bestes,https://api.github.com/users/bestes,https://github.com/bestes,https://api.github.com/users/bestes/repos,5,1,1,1,"{'Shell', 'Ruby', 'JavaScript', 'Python', 'Go'}",Bad
sixfoot6,https://api.github.com/users/sixfoot6,https://github.com/sixfoot6,https://api.github.com/users/sixfoot6/repos,21,0,0,0,{'Vue'},Bad
pivotal-legacy,https://api.github.com/users/pivotal-legacy,https://github.com/pivotal-legacy,https://api.github.com/users/pivotal-legacy/repos,17,391,257,391,"{'Ruby', 'Vim script', 'Objective-C++'}",Average
bmctigue,https://api.github.com/users/bmctigue,https://github.com/bmctigue,https://api.github.com/users/bmctigue/repos,5,18,4,18,"{'CSS', 'Ruby', 'Swift'}",Bad
Venut,https://api.github.com/users/Venut,https://github.com/Venut,https://api.github.com/users/Venut/repos,7,7,0,7,"{'JavaScript', 'C'}",Bad
balbert,https://api.github.com/users/balbert,https://github.com/balbert,https://api.github.com/users/balbert/repos,4,0,0,0,{'HTML'},Bad
pgr0ss,https://api.github.com/users/pgr0ss,https://github.com/pgr0ss,https://api.github.com/users/pgr0ss/repos,120,143,40,143,"{'Shell', 'Elixir', 'Ruby', 'JavaScript', 'Clojure', 'Python', 'CSS', 'Rust', 'Java'}",Excellent
zoonfafer,https://api.github.com/users/zoonfafer,https://github.com/zoonfafer,https://api.github.com/users/zoonfafer/repos,17,5,2,5,"{'Shell', 'Ruby', 'Vim script', 'Python', 'Haskell', 'VimL', 'Rust', 'Emacs Lisp'}",Bad
nam,https://api.github.com/users/nam,https://github.com/nam,https://api.github.com/users/nam/repos,5,2,1,2,{'Java'},Bad
yas,https://api.github.com/users/yas,https://github.com/yas,https://api.github.com/users/yas/repos,13,0,0,0,set(),Bad
Sai,https://api.github.com/users/Sai,https://github.com/Sai,https://api.github.com/users/Sai/repos,332,4,0,4,{'Objective-C'},Bad
chanwit,https://api.github.com/users/chanwit,https://github.com/chanwit,https://api.github.com/users/chanwit/repos,458,19,38,19,"{'TypeScript', 'Dockerfile', 'JavaScript', 'C', 'Python', 'PowerShell', 'Go'}",Average
mrichman,https://api.github.com/users/mrichman,https://github.com/mrichman,https://api.github.com/users/mrichman/repos,141,50,23,50,"{'Shell', 'Python', 'CSS', 'PowerShell', 'Makefile', 'Vue', 'VimL', 'PHP', 'Go', 'HTML'}",Good
rawburt,https://api.github.com/users/rawburt,https://github.com/rawburt,https://api.github.com/users/rawburt/repos,22,10,1,10,"{'Ruby', 'Python', 'Lua', 'C++', 'Rust', 'OCaml', 'HTML'}",Bad
rwohleb,https://api.github.com/users/rwohleb,https://github.com/rwohleb,https://api.github.com/users/rwohleb/repos,16,9,1,9,"{'Shell', 'Dockerfile', 'Ruby', 'Arduino', 'JavaScript', 'C', 'Objective-C', 'Python', 'C#', 'Eagle', 'C++', 'PHP'}",Bad
cmaxw,https://api.github.com/users/cmaxw,https://github.com/cmaxw,https://api.github.com/users/cmaxw/repos,266,33,8,33,"{'Ruby', 'JavaScript', 'Shell'}",Average
zukunftsalick,https://api.github.com/users/zukunftsalick,https://github.com/zukunftsalick,https://api.github.com/users/zukunftsalick/repos,59,26,8,26,"{'NewLisp', 'Ruby', 'JavaScript', 'CSS', 'Rust', 'HTML'}",Bad
inem,https://api.github.com/users/inem,https://github.com/inem,https://api.github.com/users/inem/repos,202,39,13,39,"{'ApacheConf', 'Dockerfile', 'Ruby', 'JavaScript', 'Objective-C', 'CSS', 'CoffeeScript'}",Average
bremac,https://api.github.com/users/bremac,https://github.com/bremac,https://api.github.com/users/bremac/repos,24,17,4,17,"{'Assembly', 'CoffeeScript', 'Factor', 'JavaScript', 'C', 'Python', 'Nginx', 'OCaml', 'Java'}",Bad
